Attrition_Flag	Selected	Customer_Age	Gender=F	Gender=M	Dependent_count	Education_Level=College	Education_Level=Doctorate	Education_Level=Graduate	Education_Level=High School	Education_Level=Post-Graduate	Education_Level=Uneducated	Education_Level=Unknown	Marital_Status=Divorced	Marital_Status=Married	Marital_Status=Single	Marital_Status=Unknown	Income_Category=$40K - $60K	Income_Category=$60K - $80K	Income_Category=$80K - $120K	Income_Category=$120K +	Income_Category=Less than $40K	Income_Category=Unknown	Card_Category=Blue	Card_Category=Gold	Card_Category=Platinum	Card_Category=Silver	Months_on_book	Total_Relationship_Count	Months_Inactive_12_mon	Contacts_Count_12_mon	Credit_Limit	Total_Revolving_Bal	Avg_Open_To_Buy	Total_Amt_Chng_Q4_Q1	Total_Trans_Amt	Total_Trans_Ct	Total_Ct_Chng_Q4_Q1	Avg_Utilization_Ratio
	No	28	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	23	4	1	3	2543	1156	1387	0.641	3864	64	0.684	0.455
	No	42	1	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	1	4	2	7469	837	6632	0.828	8281	80	0.739	0.112
	No	55	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	46	2	1	1	10795	0	10795	0.855	7855	81	0.528	0
	No	44	1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	35	3	3	2	1855	0	1855	0.988	2544	27	0.929	0
	No	38	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	31	6	1	2	13637	0	13637	0.566	3625	73	0.659	0
	No	45	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	1	3	3	4477	2517	1960	1.022	4996	55	0.486	0.562
	No	33	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	26	6	1	3	2382	1565	817	0.73	4011	68	0.838	0.657
	No	45	1	0	5	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	36	5	2	2	10400	1777	8623	0.791	1105	28	0.867	0.171
	No	41	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	36	3	2	1	2238	0	2238	0.452	2063	42	0.5	0
	No	50	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	46	5	3	2	8708	996	7712	0.527	3927	60	0.935	0.114
	No	40	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	28	6	2	3	3654	1172	2482	0.938	4003	67	0.595	0.321
	No	48	1	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	43	4	2	2	1438.3	0	1438.3	0.722	2520	45	0.452	0
	No	48	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	34	6	3	2	11062	0	11062	0.761	4084	72	0.8	0
	No	41	0	1	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	27	4	1	3	4461	900	3561	0.587	4204	77	0.791	0.202
	No	46	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	36	3	2	2	5746	1572	4174	0.937	3446	56	1	0.274
	No	45	1	0	4	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	34	3	2	2	2700	1977	723	0.801	4984	75	1.083	0.732
	No	46	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	36	3	1	4	10961	1391	9570	0.662	3914	77	0.75	0.127
	No	46	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	34	1	3	2	6272	1434	4838	1.172	4514	66	1.2	0.229
	No	49	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	5	3	3	1438.3	863	575.3	0.605	4482	67	0.914	0.6
	No	52	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	47	3	3	1	6629	2517	4112	0.932	2599	50	0.562	0.38
	No	32	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	25	2	3	0	8851	1753	7098	0.627	14783	110	0.864	0.198
	No	46	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	36	2	3	2	17698	1769	15929	0.623	8056	95	0.583	0.1
	No	49	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	35	3	3	4	3283	1856	1427	1.103	4498	64	0.829	0.565
	No	48	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	44	4	3	0	2231	0	2231	0.712	3946	48	1.286	0
	No	50	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	5	1	4	7238	2111	5127	1.085	2025	36	1.118	0.292
	No	47	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	42	5	2	0	20979	1800	19179	0.906	1178	27	0.929	0.086
	No	38	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	24	3	2	3	2214	570	1644	0.688	2066	45	0.25	0.257
	No	49	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	38	2	3	2	10741	2517	8224	1.087	8352	71	0.821	0.234
	No	45	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	27	4	3	2	2826	2162	664	0.924	2005	32	0.684	0.765
	No	40	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	6	1	3	2797	850	1947	0.953	3652	64	1.37	0.304
	No	38	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	22	2	1	3	34516	1595	32921	0.824	8871	97	0.764	0.046
	No	58	0	1	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	50	5	2	3	18431	902	17529	1.296	2950	61	0.848	0.049
	No	37	1	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	31	5	3	3	1586	1038	548	0.973	1724	24	0.714	0.654
	No	53	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	47	6	2	3	3378	2134	1244	0.541	4464	83	0.93	0.632
	No	52	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	35	5	2	3	1954	808	1146	0.826	4897	70	0.795	0.414
	No	43	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	30	3	3	4	6811	0	6811	0.677	1937	39	0.56	0
	No	47	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	38	4	2	3	1438.3	0	1438.3	1.001	3511	64	0.882	0
	No	50	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	39	3	1	2	11900	1796	10104	0.651	14666	101	0.98	0.151
	No	35	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	30	5	3	4	13590	1528	12062	0.728	2137	52	0.486	0.112
	No	63	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	56	5	3	2	3071	2044	1027	0.91	4433	68	0.659	0.666
	No	47	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	36	2	1	2	21331	1251	20080	0.949	1460	50	1.083	0.059
	No	49	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	4	5	1	2285	1931	354	0.69	4944	78	0.66	0.845
	No	42	1	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	30	2	3	3	8325	0	8325	0.823	8198	90	0.915	0
	No	39	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	32	4	1	4	2973	2360	613	1.257	2593	57	0.781	0.794
	No	60	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	46	2	3	2	4628	2327	2301	0.611	4226	92	0.736	0.503
	No	56	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	44	4	3	2	1667	595	1072	0.63	2424	40	0.481	0.357
	No	49	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	41	6	3	4	6205	2233	3972	0.662	3906	64	0.684	0.36
	No	43	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	34	5	3	2	1452	0	1452	0.97	4571	72	0.846	0
	No	47	1	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	39	3	2	1	18341	1060	17281	0.718	7584	85	0.7	0.058
	No	58	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	48	4	1	0	2774	0	2774	0.721	1258	33	0.435	0
	No	41	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	29	1	3	4	27945	0	27945	0.902	8345	70	1.059	0
	No	56	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	6	3	2	24073	1084	22989	0.847	1341	37	1.176	0.045
	No	48	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	36	3	3	4	2648	0	2648	0.715	3880	74	0.721	0
	No	48	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	41	6	3	1	16002	2076	13926	0.293	3667	52	1.167	0.13
	No	36	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	19	6	3	5	9764	0	9764	0.689	15097	115	0.797	0
	No	59	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	48	2	2	1	2120	1411	709	0.665	3882	92	0.643	0.666
	No	32	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	14	4	2	2	3568	2175	1393	1.368	1913	35	0.667	0.61
	No	45	1	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	33	1	2	1	1979	1305	674	0.702	5458	84	0.75	0.659
	No	51	0	1	4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	36	2	1	2	3451	2006	1445	0.555	4097	67	0.763	0.581
	No	38	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	28	2	3	3	5666	1393	4273	0.84	5015	90	0.915	0.246
	No	47	1	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	36	2	1	1	2155	1119	1036	0.815	5441	91	0.717	0.519
	No	44	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	37	5	1	1	34058	0	34058	0.552	4043	57	0.781	0
	No	49	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	43	6	1	1	2191	1414	777	0.635	3967	76	0.767	0.645
	No	49	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	30	6	3	3	18418	0	18418	0.918	9980	68	0.744	0
	No	50	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	43	6	2	1	3199	2517	682	0.699	4483	87	0.776	0.787
	No	48	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	38	2	2	3	2111	0	2111	0.531	773	17	0.133	0
	No	64	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	3	1	3	7646	1010	6636	0.421	1667	47	0.469	0.132
	No	52	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	42	6	2	2	1438.3	869	569.3	0.821	4664	77	0.878	0.604
	No	36	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	16	4	5	4	1686	1252	434	0.575	1758	42	1.1	0.743
	No	51	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	36	2	1	3	8671	590	8081	0.693	4399	72	0.756	0.068
	No	53	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	40	3	1	3	1438.3	0	1438.3	1.052	4978	73	0.921	0
	No	63	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	3	3	3	1970	1224	746	0.54	4533	65	0.625	0.621
	No	46	0	1	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	32	5	3	3	1438.3	738	700.3	0.709	4368	87	0.74	0.513
	No	44	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	3	1	1699	0	1699	0.653	5495	87	0.642	0
	No	55	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	3	3	3	2679	2277	402	0.736	4943	85	0.735	0.85
	No	56	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	36	2	1	3	8331	0	8331	0.705	14324	103	0.689	0
	No	46	1	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	37	2	3	4	5542	0	5542	0.808	8246	59	0.639	0
	No	43	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	37	5	2	3	19044	0	19044	0.721	1780	44	0.76	0
	No	44	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	38	4	1	3	1438.3	0	1438.3	0.801	4287	80	0.667	0
	No	48	0	1	4	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	5	2	3	7514	0	7514	0.514	4789	69	0.408	0
	No	29	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	21	2	1	3	2832	1819	1013	0.674	4761	75	0.744	0.642
	No	44	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	6	2	3	1656	1429	227	0.777	4258	77	0.75	0.863
	No	51	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	46	4	1	3	1792	989	803	1.202	3102	63	0.703	0.552
	No	36	1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	6	5	3	2786	1628	1158	1.314	2853	55	0.667	0.584
	No	37	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	24	4	4	4	34516	934	33582	0.681	1768	52	0.576	0.027
	No	42	0	1	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	30	6	2	4	34516	1045	33471	0.848	3574	75	0.923	0.03
	No	43	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	38	6	3	1	2960	1853	1107	0.949	3921	63	0.853	0.626
	No	54	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	38	2	2	2	34516	0	34516	0.695	3901	54	0.421	0
	No	51	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	40	6	3	4	8930	2517	6413	0.661	2167	38	0.357	0.282
	No	53	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	48	4	1	3	2522	1704	818	0.988	4697	73	0.698	0.676
	No	52	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	41	4	2	2	33864	989	32875	1.219	1751	48	0.92	0.029
	No	51	1	0	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	36	3	3	4	2585	1847	738	0.627	3480	64	0.6	0.715
	No	50	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	1	3	1	2446	1763	683	0.598	4310	75	0.875	0.721
	No	57	1	0	4	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	48	4	2	1	2576	1678	898	0.771	3913	86	0.72	0.651
	No	40	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	31	6	3	4	17126	1201	15925	0.802	3891	79	0.881	0.07
	No	43	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	36	2	3	2	2886	0	2886	0.587	2326	50	0.429	0
	No	39	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	36	6	3	4	13049	943	12106	0.686	3944	72	0.674	0.072
	No	45	1	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	36	3	1	3	3111	2290	821	1.612	1998	41	0.464	0.736
	No	40	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	36	4	2	4	9191	1666	7525	0.815	4275	83	0.766	0.181
	No	65	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	46	3	2	2	2416	1499	917	0.905	2372	53	0.514	0.62
	No	43	0	1	5	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	28	1	3	1	12773	1637	11136	0.919	14833	114	0.583	0.128
	No	63	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	48	5	2	1	1438.3	0	1438.3	0.923	3383	61	1.103	0
	No	49	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	36	5	2	3	15942	0	15942	0.723	1742	41	0.323	0
	No	49	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	39	3	2	2	11332	946	10386	0.857	3806	65	0.667	0.083
	No	51	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	34	3	1	2	11221	1279	9942	1.116	1564	45	1.647	0.114
	No	39	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	22	5	4	2	5140	2517	2623	0.876	1842	36	0.714	0.49
	No	47	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	34	2	1	2	6028	799	5229	0.819	1002	22	0.571	0.133
	No	50	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	3	1	2	4143	1888	2255	0.561	3940	74	0.805	0.456
	No	50	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	39	4	3	4	11176	2422	8754	1.003	2682	64	0.641	0.217
	No	56	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	44	5	3	3	1704	0	1704	0.701	660	17	0.308	0
	No	50	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	40	3	2	3	1606	0	1606	0.824	4129	68	0.744	0
	No	48	1	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	36	5	2	2	2700	2480	220	0.686	2396	49	0.531	0.919
	No	61	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	53	6	2	3	14434	1927	12507	2.675	1731	32	3.571	0.134
	No	45	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	1	2	1	5087	2517	2570	0.765	4682	77	0.711	0.495
	No	35	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	23	3	3	4	3073	526	2547	0.702	1944	55	0.618	0.171
	No	39	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	34	6	1	3	3766	1049	2717	0.666	1514	51	0.645	0.279
	No	47	0	1	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	41	5	3	4	14535	0	14535	0.711	2970	76	0.689	0
	No	53	1	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	36	2	3	6	4005	0	4005	0.896	7022	75	0.667	0
	No	49	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	36	6	2	4	17811	643	17168	0.842	3748	79	0.646	0.036
	No	51	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	41	4	1	0	23898	0	23898	0.486	3781	66	0.61	0
